"관측지점별","항목","단위","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월",
"속초","평균기온","℃","-1.4","-.5","8","13","15.9","21.3","25","25.6","20","13.5","9.2","1.6",
"속초","평균최고기온","℃","2.8","3.9","12.5","18.8","20.7","25.9","28.7","29.2","23.8","17.9","13.3","5.8",
"속초","평균최저기온","℃","-5.6","-4.9","3","7.5","11.6","17.4","22.1","22.4","16.2","9","5.3","-2.4",
"속초","최고기온","℃","11.9","10.5","24.7","32.5","29.4","33.9","35.4","38.7","29","23.8","19.2","12.7",
"속초","최고기온일자","","2018-01-15","2018-02-14","2018-03-27","2018-04-21","2018-05-16","2018-06-24","2018-07-22","2018-08-05","2018-09-05","2018-10-07","2018-11-04","2018-12-02",
"속초","최저기온","℃","-16.2","-13.2","-6.2","2","4.5","13.2","14.8","17.2","12.6",".3","-1.9","-11.4",
"속초","최저기온일자","","2018-01-25","2018-02-06","2018-03-02","2018-04-09","2018-05-10","2018-06-17","2018-07-07","2018-08-18","2018-09-25","2018-10-30","2018-11-23","2018-12-28",
"속초","합계강수량","mm","3.9","54.4","55","141.7","123.6","46.5","185.4","625","66.1","257.6","207.4","10.4",
"속초","평균풍속","m/s","2","2.1","2.2","2.3","2","1.7","1.6","1.6","1.5","1.8","1.6","1.8",
"속초","최대풍속","m/s","8.5","8.6","13.4","8.2","10.3","12.5","5.7","9.1","5.9","8.4","6.3","7.1",
"속초","최대풍속일자","","2018-01-30","2018-02-24","2018-03-15","2018-04-22","2018-05-17","2018-06-20","2018-07-13","2018-08-24","2018-09-05","2018-10-27","2018-11-06","2018-12-27",
"속초","최대순간풍속","m/s","18","16.7","17.3","15.5","19.4","18.1","10.4","12","13.9","16.8","13.6","15.1",
"속초","최대순간풍속일자","","2018-01-09","2018-02-14","2018-03-15","2018-04-30","2018-05-24","2018-06-20","2018-07-03","2018-08-24","2018-09-05","2018-10-01","2018-11-09","2018-12-27",
"속초","평균상대습도","%","37","43","59","57","75","72","82","82","73","61","57","42",
"속초","최소상대습도","%","15","9","8","9","15","25","40","40","27","20","16","8",
"속초","최소상대습도일자","","2018-01-29","2018-02-16","2018-03-13","2018-04-21","2018-05-04","2018-06-22","2018-07-22","2018-08-05","2018-09-24","2018-10-08","2018-11-28","2018-12-27",
"속초","평균이슬점온도","℃","-15.2","-13.1","-.6","2.8","10.5","15.4","21.3","22.1","14.5","5.5",".3","-11.4",
"속초","평균증기압","hPa","2.3","2.8","6.2","7.9","13.1","17.7","25.7","26.9","17","9.6","7","3.3",
"속초","합계일조시간","hr","214.7","218.5","171.2","227.6","186.4","208.8","209.3","185.3","196.1","229.5","165.7","208",
"속초","평균전운량","할","","","","","","","","6","5.5","3.6","4.1","3.4",
"속초","평균현지기압","hPa","1018.5","1018.8","1017.3","1012.2","1009","1005.3","1006.9","1005.9","1011.6","1015.7","1020.1","1022.5",
"속초","평균해면기압","hPa","1020.8","1021.1","1019.5","1014.4","1011.1","1007.4","1009","1007.9","1013.7","1017.9","1022.3","1024.8",
"속초","최고해면기압","hPa","1031.9","1030.8","1033.6","1028.4","1025.6","1017","1019","1017.6","1025.1","1027.8","1028.5","1037.2",
"속초","최고해면기압일자","","2018-01-13","2018-02-24","2018-03-06","2018-04-13","2018-05-20","2018-06-15","2018-07-09","2018-08-16","2018-09-11","2018-10-04","2018-11-07","2018-12-31",
"속초","최저해면기압","hPa","1002.1","1003","997.2","995","999.7","995.8","996.8","990.5","992.8","999.1","1001.3","1012.9",
"속초","최저해면기압일자","","2018-01-09","2018-02-28","2018-03-01","2018-04-10","2018-05-24","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-01","2018-11-09","2018-12-17",
"속초","평균지면온도","℃","-.9",".6","8.5","14.9","19.1","26.9","29.4","28.6","23.2","14.1","7.8",".8",
"북춘천","평균기온","℃","-6","-3.4","7","12","17.2","22.6","26.3","26.9","19.1","10.3","5.1","-3.2",
"북춘천","평균최고기온","℃",".6","3.6","13.8","19.5","23.9","29.3","31.8","32.9","25.7","17.9","12.1","3.4",
"북춘천","평균최저기온","℃","-11.8","-10.3",".2","4.9","10.8","16.6","21.7","22.2","13.4","4.4","0","-8.7",
"북춘천","최고기온","℃","8.6","10.4","23.4","29.2","31","34.5","37.6","40.6","29.5","25","19.3","12",
"북춘천","최고기온일자","","2018-01-17","2018-02-26","2018-03-29","2018-04-21","2018-05-26","2018-06-24","2018-07-22","2018-08-01","2018-09-04","2018-10-04","2018-11-03","2018-12-04",
"북춘천","최저기온","℃","-21.7","-19.2","-8.2","-3","2.9","11.9","13.7","15.8","6.5","-2.5","-7.3","-16.9",
"북춘천","최저기온일자","","2018-01-27","2018-02-07","2018-03-02","2018-04-08","2018-05-04","2018-06-16","2018-07-08","2018-08-18","2018-09-25","2018-10-30","2018-11-23","2018-12-28",
"북춘천","합계강수량","mm","6.5","33","32","117.2","200.5","88.6","189.7","354.6","63","102.6","56.9","17.3",
"북춘천","최심적설","cm","5","7.6","","1.5","","","","","","","8.5","2.6",
"북춘천","최심적설일자","","2018-01-23","2018-02-23","","2018-04-08","","","","","","","2018-11-24","2018-12-11",
